what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.css.ui,1.0.601.v201201101544,"org.eclipse.wst.css.ui",1362121423053
started,bundle,org.eclipse.wst.dtd.ui,1.0.600.v201103171359,"org.eclipse.wst.dtd.ui",1362121423072
started,bundle,org.eclipse.wst.html.core,1.1.502.v201202091936,"org.eclipse.wst.html.core",1362121423082
started,bundle,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.ui",1362121423103
started,bundle,org.eclipse.wst.jsdt.core,1.1.102.v201111090634,"org.eclipse.wst.jsdt.core",1362121423120
started,bundle,org.eclipse.wst.jsdt.debug.ui,1.0.101.v201201112313,"org.eclipse.wst.jsdt.debug.ui",1362121423123
started,bundle,org.eclipse.wst.jsdt.manipulation,1.0.300.v201104272153,"org.eclipse.wst.jsdt.manipulation",1362121423125
started,bundle,org.eclipse.wst.jsdt.ui,1.1.102.v201201131900,"org.eclipse.wst.jsdt.ui",1362121423141
started,bundle,org.eclipse.wst.jsdt.web.core,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.core",1362121423144
started,bundle,org.eclipse.wst.jsdt.web.ui,1.0.401.v201108152113,"org.eclipse.wst.jsdt.web.ui",1362121423147
started,bundle,org.eclipse.wst.sse.core,1.1.602.v201112071516,"org.eclipse.wst.sse.core",1362121423149
started,bundle,org.eclipse.wst.sse.ui,1.3.2.v201201041522,"org.eclipse.wst.sse.ui",1362121423167
started,bundle,org.eclipse.wst.validation,1.2.303.v201202090300,"org.eclipse.wst.validation",1362121423172
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1362121423174
started,bundle,org.eclipse.wst.xml.core,1.1.602.v201201091944,"org.eclipse.wst.xml.core",1362121423190
started,bundle,org.eclipse.wst.xml.ui,1.1.202.v201112071516,"org.eclipse.wst.xml.ui",1362121423203
os,sysinfo,,,"win32",1362121423213
arch,sysinfo,,,"x86_64",1362121423213
ws,sysinfo,,,"win32",1362121423213
locale,sysinfo,,,"en_US",1362121423213
processors,sysinfo,,,"4",1362121423214
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1362121423214
java.runtime.version,sysinfo,,,"1.7.0_04-b20",1362121423214
java.specification.name,sysinfo,,,"Java Platform API Specification",1362121423214
java.specification.vendor,sysinfo,,,"Oracle Corporation",1362121423214
java.specification.version,sysinfo,,,"1.7",1362121423214
java.vendor,sysinfo,,,"Oracle Corporation",1362121423214
java.version,sysinfo,,,"1.7.0_04",1362121423214
java.vm.info,sysinfo,,,"mixed mode",1362121423214
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1362121423214
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1362121423214
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1362121423214
java.vm.specification.version,sysinfo,,,"1.7",1362121423214
java.vm.vendor,sysinfo,,,"Oracle Corporation",1362121423214
java.vm.version,sysinfo,,,"23.0-b21",1362121423214
opened,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362121423834
activated,editor,org.eclipse.wst.html.ui,1.0.602.v201202091936,"org.eclipse.wst.html.core.htmlsource.source",1362121423987
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201106061540,"org.eclipse.epp.usagedata.ui",1362121424471
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1362121426634
